Вектор Мощи,Скорость перехода через портал,Приток Силы Потока,Ритм магического ядра,Поток Энергий,Сила Левого Потока,Сила Правого Потока,Пламя Стихий,Приток давления Выдоха Истока,Давление выдоха Истока,Печать Чародея,Эмульсия Истока,Дыхание Истока,Гармония Бессмертия,Тип Вектора Мощи
1.138,1.54332,289.964,141.31815761667454,6677.38,7.584,7.584,464.006,1.096,5.947,7.137,0.082,0.95,0.975,Слабый
2.088,,6960.18,144.1117665240017,6828.469,28.204,28.204,635.401,1.331,7.282,10.655,0.287,0.95,0.975,Слабый
3.144,4.6299600000000005,8379.229,145.220853450474,7111.811,60.358,60.358,606.002,1.389,7.574,13.086,0.259,0.95,0.975,Ниже среднего
4.161,6.17328,14724.395,162.0501558562443,7792.63,113.774,113.774,661.471,1.658,9.007,18.109,0.358,0.95,0.975,Ниже среднего
5.14,7.7166,21636.432,201.51358613357783,8494.777,175.306,175.306,731.494,2.078,11.197,26.373,0.522,0.95,0.975,Выше среднего
6.175,9.25992,29792.731,241.6307818421234,8828.36,246.278,246.278,800.434,2.501,13.356,35.76,0.708,0.95,0.975,Выше среднего
7.148,10.80324,38982.18,280.44851010938913,9132.429,332.077,332.077,854.747,2.963,15.679,45.881,0.908,0.95,0.975,Сильный
8.206,12.34656,50996.808,323.32863183701187,9318.562,437.989,437.989,952.122,3.576,18.632,62.44,1.236,0.95,0.975,Сильный
9.3,13.88988,72763.329,372.843692529261,9778.528,644.905,644.905,1115.797,4.498,22.811,92.556,1.832,0.95,0.975,Сильный
1.138,1.54332,379.88,141.93453809530885,6683.916,7.915,7.915,464.017,1.1,5.963,3.879,0.079,0.95,0.976,Слабый
2.088,3.08664,6969.176,143.669220838866,6828.438,27.424,27.424,635.96,1.33,7.272,12.785,0.289,0.95,0.976,Слабый
3.144,4.6299600000000005,8379.307,145.22095817022915,7114.396,60.353,60.353,605.169,1.389,7.567,13.052,0.258,0.95,0.976,Ниже среднего
4.161,6.17328,14724.544,162.0502605759994,7794.646,113.795,113.795,660.568,1.657,8.998,18.066,0.358,0.95,0.976,Ниже среднего
5.14,7.7166,21636.777,201.51358613357783,8495.697,175.314,175.314,730.495,2.078,11.185,26.316,0.521,0.95,0.976,Выше среднего
6.175,9.25992,29792.983,241.6291063260415,8829.394,246.295,246.295,799.298,2.501,13.342,35.687,0.707,0.95,0.976,Выше среднего
7.148,10.80324,38981.896,280.44851010938913,9132.932,332.208,332.208,853.701,2.963,15.661,45.799,0.907,0.95,0.976,Сильный
8.206,12.34656,50997.234,323.3309356716245,9318.935,438.098,438.098,951.073,3.575,18.611,62.342,1.234,0.95,0.976,Сильный
9.3,,72763.515,372.8443208477918,9779.311,644.963,644.963,1114.887,4.496,22.784,92.448,1.83,0.95,0.976,Сильный
1.138,1.54332,753.021,143.66356597208957,6697.838,8.858,8.858,473.665,1.117,6.047,0.0,0.088,0.95,0.977,Слабый
2.088,3.08664,6961.726,143.57675329509536,6830.364,27.259,27.259,635.133,1.33,7.262,13.192,0.289,0.95,0.977,Слабый
3.144,4.6299600000000005,8379.456,145.22106288998427,7116.987,60.356,60.356,604.338,1.389,7.559,13.018,0.258,0.95,0.977,Ниже среднего
